Identificador do processo de viagem,Número da Proposta (PCDP),Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço,Data da emissão/compra,Hora da emissão/compra
19358162,000001/24,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Rio Grande do Sul,Pelotas,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"350,30","0,00",20/11/2023,12:11
19360481,000046/24,Aéreo,Uruguai,,Montevidéu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1846,43","0,00",20/10/2023,14:26
19360522,000045/24,Aéreo,Uruguai,,Montevidéu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1846,43","0,00",20/10/2023,14:29
19360549,000044/24,Aéreo,Uruguai,,Montevidéu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1846,43","0,00",20/10/2023,14:31
19360619,000043/24,Aéreo,Uruguai,,Montevidéu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1846,43","0,00",20/10/2023,14:33
19362342,000002/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,França,,Paris,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4701,75","5,90",06/10/2023,18:02
19366499,000001/24,Aéreo,Brasil,São Paulo,Guarulhos,Itália,,Gênova,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3826,66","0,00",14/12/2023,14:48
19366499,000001/24,Aéreo,Itália,,Gênova,Brasil,São Paulo,Guarulhos,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3826,66","0,00",14/12/2023,14:48
19370341,000094/24,Aéreo,Paraguai,,Assunção,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1688,26","0,00",19/10/2023,18:24
19370395,000093/24,Aéreo,Paraguai,,Assunção,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1688,26","0,00",19/10/2023,18:26
19370445,000092/24,Aéreo,Paraguai,,Assunção,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"141,59","0,00",19/10/2023,18:28
19374318,000066/24,Aéreo,Estados Unidos da América,,Washington,Brasil,São Paulo,Guarulhos,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"7702,52","0,00",19/10/2023,18:37
19374401,000065/24,Aéreo,Estados Unidos da América,,Washington,Brasil,São Paulo,Guarulhos,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"7702,52","0,00",19/10/2023,18:39
19374470,000064/24,Aéreo,Estados Unidos da América,,Washington,Brasil,São Paulo,Guarulhos,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"888,48","0,00",19/10/2023,18:42
19376925,000014/24,Aéreo,Itália,,Roma,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4331,08","0,00",27/10/2023,13:02
19377206,000002/24,Aéreo,Rússia,,Moscou,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"11336,43","0,00",19/12/2023,15:50
19377215,000003/24,Aéreo,Peru,,Lima,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1963,43","0,00",27/10/2023,11:45
19377292,000004/24,Aéreo,Peru,,Lima,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1963,43","0,00",27/10/2023,11:48
